日付,製品ID,ロット番号,検査項目,測定値,規格下限,規格上限,合否,不良要因,工程,ライン,検査員,温度,湿度,気圧,機械番号,材料ロット,サプライヤー,製造時間,検査時間,重量,長さ,幅,厚さ,硬度,表面粗さ,色差,光沢度,引張強度,圧縮強度,電気抵抗,熱伝導率,振動試験,落下試験,塩水噴霧,耐熱性,耐寒性,耐薬品性,騒音レベル,消費電力
2025-01-07,P030,L20250107E,寸法検査,10.08,9.95,10.05,不合格,寸法不良,成形,A1,佐藤,23.5,45,1013,M001,R2025010,サプライヤーE,11:30,12:00,126.3,50.0,30.3,5.00,86,0.7,0.4,91,523,452,0.004,1.0,合格,合格,168h,250,合格,合格,37,13.2
2025-01-08,P031,L20250108A,外観検査,,,,,合格,,組立,B2,鈴木,24.0,44,1014,M002,R2025011,サプライヤーA,08:00,08:30,125.7,50.3,29.9,5.03,85,0.8,0.5,93,520,450,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-08,P032,L20250108A,寸法検査,10.01,9.95,10.05,合格,,組立,B2,鈴木,24.0,44,1014,M002,R2025011,サプライヤーA,08:15,08:45,125.1,50.1,30.1,5.01,84,0.9,0.6,92,517,448,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-08,P033,L20250108A,強度試験,475,500,600,不合格,強度不足,組立,B2,鈴木,24.0,44,1014,M002,R2025011,サプライヤーA,08:30,09:00,124.4,50.0,30.0,5.00,86,0.7,0.5,90,488,444,0.003,1.0,不合格,合格,168h,250,合格,合格,38,13.4
2025-01-08,P034,L20250108B,電気検査,0.003,0.001,0.005,合格,,検査,C3,田中,22.7,48,1012,M003,R2025012,サプライヤーB,08:45,09:15,126.2,50.2,30.2,5.02,85,0.8,0.7,91,522,451,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-08,P035,L20250108B,外観検査,,,,,不合格,傷・汚れ,検査,C3,田中,22.7,48,1012,M003,R2025012,サプライヤーB,09:00,09:30,125.5,50.1,30.1,5.01,84,0.9,0.5,92,519,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.7
2025-01-08,P036,L20250108B,寸法検査,9.94,9.95,10.05,不合格,寸法不良,検査,C3,田中,22.7,48,1012,M003,R2025012,サプライヤーB,09:15,09:45,124.8,50.0,30.3,5.00,86,0.7,0.6,93,516,447,0.003,1.0,合格,合格,168h,250,合格,合格,34,12.2
2025-01-08,P037,L20250108C,外観検査,,,,,合格,,成形,A1,山田,23.3,46,1013,M001,R2025013,サプライヤーC,09:30,10:00,125.9,50.3,29.8,5.03,85,0.8,0.5,92,524,453,0.004,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-08,P038,L20250108C,強度試験,535,500,600,合格,,成形,A1,山田,23.3,46,1013,M001,R2025013,サプライヤーC,09:45,10:15,126.1,50.1,30.1,5.01,84,0.9,0.4,90,532,450,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-08,P039,L20250108C,電気検査,0.008,0.001,0.005,不合格,電気特性異常,成形,A1,山田,23.3,46,1013,M001,R2025013,サプライヤーC,10:00,10:30,125.3,50.0,30.0,5.00,86,0.7,0.6,91,521,448,0.008,1.0,合格,合格,168h,250,合格,合格,37,13.1
2025-01-08,P040,L20250108D,寸法検査,10.03,9.95,10.05,合格,,組立,B2,佐藤,24.1,43,1014,M002,R2025014,サプライヤーD,10:15,10:45,124.6,50.2,30.2,5.02,85,0.8,0.5,93,517,446,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-08,P041,L20250108D,外観検査,,,,,不合格,変色・変形,組立,B2,佐藤,24.1,43,1014,M002,R2025014,サプライヤーD,10:30,11:00,126.0,50.1,30.1,5.01,84,0.9,0.7,92,520,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-08,P042,L20250108D,強度試験,508,500,600,合格,,組立,B2,佐藤,24.1,43,1014,M002,R2025014,サプライヤーD,10:45,11:15,125.7,50.0,30.3,5.00,86,0.7,0.5,90,505,451,0.003,1.2,合格,合格,168h,250,合格,合格,34,12.3
2025-01-08,P043,L20250108E,電気検査,0.002,0.001,0.005,合格,,検査,C3,鈴木,22.6,49,1012,M003,R2025015,サプライヤーE,11:00,11:30,125.2,50.3,29.9,5.03,85,0.8,0.6,91,518,448,0.002,1.1,合格,合格,168h,250,合格,合格,35,12.6
2025-01-08,P044,L20250108E,外観検査,,,,,不合格,傷・汚れ,検査,C3,鈴木,22.6,49,1012,M003,R2025015,サプライヤーE,11:15,11:45,124.9,50.1,30.1,5.01,84,0.9,0.5,92,515,447,0.004,1.0,合格,合格,168h,250,合格,合格,36,12.9
2025-01-08,P045,L20250108E,寸法検査,10.09,9.95,10.05,不合格,寸法不良,検査,C3,鈴木,22.6,49,1012,M003,R2025015,サプライヤーE,11:30,12:00,126.4,50.0,30.0,5.00,86,0.7,0.4,93,523,452,0.003,1.2,合格,合格,168h,250,合格,合格,37,13.3
2025-01-09,P046,L20250109A,外観検査,,,,,合格,,成形,A1,田中,23.4,45,1013,M001,R2025016,サプライヤーA,08:00,08:30,125.8,50.2,30.2,5.02,85,0.8,0.5,92,520,450,0.004,1.1,合格,合格,168h,250,合格,合格,35,12.5
2025-01-09,P047,L20250109A,寸法検査,10.00,9.95,10.05,合格,,成形,A1,田中,23.4,45,1013,M001,R2025016,サプライヤーA,08:15,08:45,125.0,50.1,30.1,5.01,84,0.9,0.6,90,517,448,0.003,1.2,合格,合格,168h,250,合格,合格,36,12.8
2025-01-09,P048,L20250109A,強度試験,490,500,600,不合格,強度不足,成形,A1,田中,23.4,45,1013,M001,R2025016,サプライヤーA,08:30,09:00,124.3,50.0,30.3,5.00,86,0.7,0.5,91,485,445,0.004,1.0,不合格,合格,168h,250,合格,合格,38,13.5
2025-01-09,P049,L20250109B,電気検査,0.004,0.001,0.005,合格,,組立,B2,山田,24.3,42,1014,M002,R2025017,サプライヤーB,08:45,09:15,126.3,50.3,29.8,5.03,85,0.8,0.7,93,522,451,0.004,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-09,P050,L20250109B,外観検査,,,,,不合格,傷・汚れ,組立,B2,山田,24.3,42,1014,M002,R2025017,サプライヤーB,09:00,09:30,125.6,50.1,30.1,5.01,84,0.9,0.5,92,519,449,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.7
2025-01-09,P051,L20250109B,寸法検査,10.06,9.95,10.05,不合格,寸法不良,組立,B2,山田,24.3,42,1014,M002,R2025017,サプライヤーB,09:15,09:45,124.9,50.0,30.0,5.00,86,0.7,0.6,90,516,447,0.004,1.0,合格,合格,168h,250,合格,合格,34,12.2
2025-01-09,P052,L20250109C,外観検査,,,,,合格,,検査,C3,佐藤,22.8,47,1012,M003,R2025018,サプライヤーC,09:30,10:00,125.9,50.2,30.2,5.02,85,0.8,0.5,91,524,453,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-09,P053,L20250109C,強度試験,525,500,600,合格,,検査,C3,佐藤,22.8,47,1012,M003,R2025018,サプライヤーC,09:45,10:15,126.2,50.1,30.1,5.01,84,0.9,0.4,92,528,450,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-09,P054,L20250109C,電気検査,0.009,0.001,0.005,不合格,電気特性異常,検査,C3,佐藤,22.8,47,1012,M003,R2025018,サプライヤーC,10:00,10:30,125.4,50.0,30.3,5.00,86,0.7,0.6,93,521,448,0.009,1.0,合格,合格,168h,250,合格,合格,37,13.2
2025-01-09,P055,L20250109D,寸法検査,10.05,9.95,10.05,合格,,成形,A1,鈴木,23.6,44,1013,M001,R2025019,サプライヤーD,10:15,10:45,124.7,50.3,29.9,5.03,85,0.8,0.5,90,517,446,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-09,P056,L20250109D,外観検査,,,,,不合格,変色・変形,成形,A1,鈴木,23.6,44,1013,M001,R2025019,サプライヤーD,10:30,11:00,126.0,50.1,30.1,5.01,84,0.9,0.7,92,520,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-09,P057,L20250109D,強度試験,515,500,600,合格,,成形,A1,鈴木,23.6,44,1013,M001,R2025019,サプライヤーD,10:45,11:15,125.3,50.0,30.0,5.00,86,0.7,0.5,91,512,451,0.003,1.0,合格,合格,168h,250,合格,合格,34,12.3
2025-01-09,P058,L20250109E,電気検査,0.001,0.001,0.005,合格,,組立,B2,田中,24.0,43,1014,M002,R2025020,サプライヤーE,11:00,11:30,125.2,50.2,30.2,5.02,85,0.8,0.6,93,518,448,0.001,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-09,P059,L20250109E,外観検査,,,,,不合格,傷・汚れ,組立,B2,田中,24.0,43,1014,M002,R2025020,サプライヤーE,11:15,11:45,124.8,50.1,30.1,5.01,84,0.9,0.5,92,515,447,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-09,P060,L20250109E,寸法検査,10.07,9.95,10.05,不合格,寸法不良,組立,B2,田中,24.0,43,1014,M002,R2025020,サプライヤーE,11:30,12:00,126.5,50.0,30.3,5.00,86,0.7,0.4,90,523,452,0.004,1.0,合格,合格,168h,250,合格,合格,38,13.4
2025-01-10,P061,L20250110A,外観検査,,,,,合格,,検査,C3,山田,22.5,48,1012,M003,R2025021,サプライヤーA,08:00,08:30,125.9,50.3,29.8,5.03,85,0.8,0.5,91,520,450,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-10,P062,L20250110A,寸法検査,10.02,9.95,10.05,合格,,検査,C3,山田,22.5,48,1012,M003,R2025021,サプライヤーA,08:15,08:45,125.1,50.1,30.1,5.01,84,0.9,0.6,92,517,448,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-10,P063,L20250110A,強度試験,470,500,600,不合格,強度不足,検査,C3,山田,22.5,48,1012,M003,R2025021,サプライヤーA,08:30,09:00,124.2,50.0,30.0,5.00,86,0.7,0.5,93,480,443,0.003,1.0,不合格,合格,168h,250,合格,合格,37,13.6
2025-01-10,P064,L20250110B,電気検査,0.003,0.001,0.005,合格,,成形,A1,佐藤,23.7,45,1013,M001,R2025022,サプライヤーB,08:45,09:15,126.4,50.2,30.2,5.02,85,0.8,0.7,90,522,451,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-10,P065,L20250110B,外観検査,,,,,不合格,傷・汚れ,成形,A1,佐藤,23.7,45,1013,M001,R2025022,サプライヤーB,09:00,09:30,125.7,50.1,30.1,5.01,84,0.9,0.5,92,519,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.7
2025-01-10,P066,L20250110B,寸法検査,9.92,9.95,10.05,不合格,寸法不良,成形,A1,佐藤,23.7,45,1013,M001,R2025022,サプライヤーB,09:15,09:45,125.0,50.0,30.3,5.00,86,0.7,0.6,91,516,447,0.003,1.0,合格,合格,168h,250,合格,合格,34,12.2
2025-01-10,P067,L20250110C,外観検査,,,,,合格,,組立,B2,鈴木,24.2,42,1014,M002,R2025023,サプライヤーC,09:30,10:00,125.9,50.3,29.9,5.03,85,0.8,0.5,93,524,453,0.004,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-10,P068,L20250110C,強度試験,540,500,600,合格,,組立,B2,鈴木,24.2,42,1014,M002,R2025023,サプライヤーC,09:45,10:15,126.3,50.1,30.1,5.01,84,0.9,0.4,92,538,450,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-10,P069,L20250110C,電気検査,0.006,0.001,0.005,不合格,電気特性異常,組立,B2,鈴木,24.2,42,1014,M002,R2025023,サプライヤーC,10:00,10:30,125.5,50.0,30.0,5.00,86,0.7,0.6,90,521,448,0.006,1.0,合格,合格,168h,250,合格,合格,38,13.3
2025-01-10,P070,L20250110D,寸法検査,10.04,9.95,10.05,合格,,検査,C3,田中,22.9,46,1012,M003,R2025024,サプライヤーD,10:15,10:45,124.8,50.2,30.2,5.02,85,0.8,0.5,91,517,446,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-10,P071,L20250110D,外観検査,,,,,不合格,変色・変形,検査,C3,田中,22.9,46,1012,M003,R2025024,サプライヤーD,10:30,11:00,126.1,50.1,30.1,5.01,84,0.9,0.7,92,520,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-10,P072,L20250110D,強度試験,505,500,600,合格,,検査,C3,田中,22.9,46,1012,M003,R2025024,サプライヤーD,10:45,11:15,125.4,50.0,30.3,5.00,86,0.7,0.5,93,502,451,0.003,1.0,合格,合格,168h,250,合格,合格,34,12.3
2025-01-10,P073,L20250110E,電気検査,0.002,0.001,0.005,合格,,成形,A1,山田,23.5,44,1013,M001,R2025025,サプライヤーE,11:00,11:30,125.2,50.3,29.8,5.03,85,0.8,0.6,90,518,448,0.002,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-10,P074,L20250110E,外観検査,,,,,不合格,傷・汚れ,成形,A1,山田,23.5,44,1013,M001,R2025025,サプライヤーE,11:15,11:45,124.9,50.1,30.1,5.01,84,0.9,0.5,92,515,447,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-10,P075,L20250110E,寸法検査,10.10,9.95,10.05,不合格,寸法不良,成形,A1,山田,23.5,44,1013,M001,R2025025,サプライヤーE,11:30,12:00,126.6,50.0,30.0,5.00,86,0.7,0.4,91,523,452,0.003,1.0,合格,合格,168h,250,合格,合格,37,13.5
2025-01-11,P076,L20250111A,外観検査,,,,,不合格,異物混入,組立,B2,佐藤,24.1,43,1014,M002,R2025026,サプライヤーA,08:00,08:30,125.8,50.2,30.2,5.02,85,0.8,0.5,93,520,450,0.004,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-11,P077,L20250111A,寸法検査,10.01,9.95,10.05,合格,,組立,B2,佐藤,24.1,43,1014,M002,R2025026,サプライヤーA,08:15,08:45,125.0,50.1,30.1,5.01,84,0.9,0.6,92,517,448,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-11,P078,L20250111A,強度試験,495,500,600,不合格,強度不足,組立,B2,佐藤,24.1,43,1014,M002,R2025026,サプライヤーA,08:30,09:00,124.1,50.0,30.3,5.00,86,0.7,0.5,90,490,444,0.004,1.0,不合格,合格,168h,250,合格,合格,38,13.7
2025-01-11,P079,L20250111B,電気検査,0.004,0.001,0.005,合格,,検査,C3,鈴木,22.7,47,1012,M003,R2025027,サプライヤーB,08:45,09:15,126.5,50.3,29.9,5.03,85,0.8,0.7,91,522,451,0.004,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-11,P080,L20250111B,外観検査,,,,,不合格,メッキ不良,検査,C3,鈴木,22.7,47,1012,M003,R2025027,サプライヤーB,09:00,09:30,125.8,50.1,30.1,5.01,84,0.9,0.5,92,519,449,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.7
2025-01-11,P081,L20250111B,寸法検査,10.08,9.95,10.05,不合格,寸法不良,検査,C3,鈴木,22.7,47,1012,M003,R2025027,サプライヤーB,09:15,09:45,125.1,50.0,30.0,5.00,86,0.7,0.6,93,516,447,0.004,1.0,合格,合格,168h,250,合格,合格,34,12.2
2025-01-11,P082,L20250111C,外観検査,,,,,不合格,印刷ズレ,成形,A1,田中,23.3,45,1013,M001,R2025028,サプライヤーC,09:30,10:00,125.9,50.2,30.2,5.02,85,0.8,0.5,90,524,453,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-11,P083,L20250111C,強度試験,530,500,600,合格,,成形,A1,田中,23.3,45,1013,M001,R2025028,サプライヤーC,09:45,10:15,126.4,50.1,30.1,5.01,84,0.9,0.4,92,528,450,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-11,P084,L20250111C,電気検査,0.007,0.001,0.005,不合格,電気特性異常,成形,A1,田中,23.3,45,1013,M001,R2025028,サプライヤーC,10:00,10:30,125.6,50.0,30.3,5.00,86,0.7,0.6,91,521,448,0.007,1.0,合格,合格,168h,250,合格,合格,37,13.1
2025-01-11,P085,L20250111D,寸法検査,10.02,9.95,10.05,合格,,組立,B2,山田,24.0,44,1014,M002,R2025029,サプライヤーD,10:15,10:45,124.9,50.3,29.8,5.03,85,0.8,0.5,93,517,446,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-11,P086,L20250111D,外観検査,,,,,不合格,接着不良,組立,B2,山田,24.0,44,1014,M002,R2025029,サプライヤーD,10:30,11:00,126.2,50.1,30.1,5.01,84,0.9,0.7,92,520,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-11,P087,L20250111D,強度試験,520,500,600,合格,,組立,B2,山田,24.0,44,1014,M002,R2025029,サプライヤーD,10:45,11:15,125.5,50.0,30.0,5.00,86,0.7,0.5,90,518,451,0.003,1.0,合格,合格,168h,250,合格,合格,34,12.3
2025-01-11,P088,L20250111E,電気検査,0.001,0.001,0.005,合格,,検査,C3,佐藤,22.8,46,1012,M003,R2025030,サプライヤーE,11:00,11:30,125.2,50.2,30.2,5.02,85,0.8,0.6,91,518,448,0.001,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-11,P089,L20250111E,外観検査,,,,,不合格,温度管理不良,検査,C3,佐藤,22.8,46,1012,M003,R2025030,サプライヤーE,11:15,11:45,124.8,50.1,30.1,5.01,84,0.9,0.5,92,515,447,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.9
2025-01-11,P090,L20250111E,寸法検査,10.06,9.95,10.05,不合格,寸法不良,検査,C3,佐藤,22.8,46,1012,M003,R2025030,サプライヤーE,11:30,12:00,126.7,50.0,30.3,5.00,86,0.7,0.4,93,523,452,0.004,1.0,合格,合格,168h,250,合格,合格,38,13.6
2025-01-12,P091,L20250112A,外観検査,,,,,不合格,材料不良,成形,A1,鈴木,23.6,44,1013,M001,R2025031,サプライヤーA,08:00,08:30,126.0,50.3,29.9,5.03,85,0.8,0.5,90,520,450,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-12,P092,L20250112A,寸法検査,10.03,9.95,10.05,合格,,成形,A1,鈴木,23.6,44,1013,M001,R2025031,サプライヤーA,08:15,08:45,125.2,50.1,30.1,5.01,84,0.9,0.6,92,517,448,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-12,P093,L20250112A,強度試験,465,500,600,不合格,強度不足,成形,A1,鈴木,23.6,44,1013,M001,R2025031,サプライヤーA,08:30,09:00,124.0,50.0,30.0,5.00,86,0.7,0.5,91,475,442,0.003,1.0,不合格,合格,168h,250,合格,合格,37,13.8
2025-01-12,P094,L20250112B,電気検査,0.003,0.001,0.005,合格,,組立,B2,田中,24.2,42,1014,M002,R2025032,サプライヤーB,08:45,09:15,126.6,50.2,30.2,5.02,85,0.8,0.7,93,522,451,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-12,P095,L20250112B,外観検査,,,,,不合格,静電気破壊,組立,B2,田中,24.2,42,1014,M002,R2025032,サプライヤーB,09:00,09:30,125.9,50.1,30.1,5.01,84,0.9,0.5,92,519,449,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.7
